,STATE,CountyNo,BelowUni,AboveUni
204,NE,55,30.3517427444458,69.64825630187988
205,CO,49,31.947372436523438,68.05262756347656
206,ID,1,25.536911010742188,74.46308898925781
207,VA,41,30.5289044380188,69.47109603881836
208,CT,0,35.39005374908447,64.60994529724121
209,IL,31,34.96054267883301,65.03945732116699
210,NE,109,27.837483406066895,72.16251754760742
211,MI,77,28.728999137878418,71.27099990844727
212,MD,5,33.62479305267334,66.37520790100098
213,VT,25,36.25539445877075,63.74460792541504
214,IN,157,35.09763526916504,64.90236473083496
215,MD,41,31.972037315368652,68.0279655456543
216,CO,7,27.085142135620117,72.91485977172852
217,VT,0,34.755218505859375,65.24477958679199
218,OH,57,29.48036003112793,70.51963806152344
219,VA,0,33.546658515930176,66.45334053039551
220,HI,5,31.870670437812805,68.12932968139648
221,PA,45,36.162306785583496,63.83769226074219
222,CA,73,30.172938346862793,69.82706260681152
223,PR,127,38.81892204284668,61.18107986450195
224,ID,13,34.25965976715088,65.74034309387207
225,MI,65,28.54917335510254,71.45082473754883
226,NY,55,32.215152740478516,67.78484535217285
227,SC,79,30.38388729095459,69.6161117553711
228,AK,68,32.4222936630249,67.57770538330078
229,OH,61,33.982266426086426,66.01773452758789
230,IN,63,32.60930109024048,67.39069747924805
231,NY,47,42.03841209411621,57.96158981323242
232,AK,110,25.306320667266846,74.69367980957031
233,TN,93,32.79434871673584,67.20565223693848
234,NC,125,29.340336322784424,70.65966415405273
235,CO,41,25.53287696838379,74.46712493896484
236,ID,65,19.110978603363037,80.88902282714844
237,NH,11,33.329259395599365,66.67074203491211
238,TX,209,32.457966804504395,67.54203033447266
239,CT,3,36.18753528594971,63.812461853027344
240,UT,5,26.62946844100952,73.37052917480469
241,NJ,5,34.15872812271118,65.84127235412598
242,MI,55,27.064056396484375,72.93594360351562
243,CA,3,33.37142896652222,66.62857246398926
244,UT,29,22.33009624481201,77.66990280151367
245,VT,27,34.68190002441406,65.31809997558594
246,NC,55,27.47611951828003,72.52388000488281
247,MA,11,34.554062843322754,65.44593811035156
248,NE,45,27.891283988952637,72.10871505737305
249,UT,11,25.271127223968506,74.7288703918457
250,MA,23,34.70694828033447,65.29305267333984
251,KS,51,30.309685230255127,69.69031524658203
252,OR,5,27.65314531326294,72.34685516357422
253,LA,71,35.08472442626953,64.9152774810791
254,TX,91,31.755009174346924,68.24499320983887
255,OK,119,35.317344665527344,64.68265724182129
256,OH,55,35.408782958984375,64.59121513366699
257,AZ,5,30.744598388671875,69.25540161132812
258,CA,57,23.707837104797363,76.29216384887695
259,IA,153,32.64809465408325,67.35190391540527
260,NH,0,34.02192497253418,65.97807502746582
261,PA,19,36.32617807388306,63.6738224029541
262,VT,3,35.47258758544922,64.52741050720215
263,KY,37,35.97825288772583,64.02174758911133
264,NY,0,38.23151111602783,61.76848793029785
