,CountyNo,"NativeAmerican (AmericanIndianAlaskaNative, NativeHawaianPacific)","Asian (EastAsian,SouthAsian)",Black, White, Mixed,OtherUnknown,STATE,HHI
246,3,728,180,251,10069,2906,2242,CO,0.4306227102872434
247,5,8597,42472,70787,396027,82832,54355,CO,0.4044157860981935
248,7,246,105,41,10749,1598,620,CO,0.6642962745849653
249,9,42,13,26,3043,232,150,CO,0.7597424869240539
250,11,162,52,256,3831,487,862,CO,0.4934218184665988
251,13,2783,16450,3393,255983,33001,19148,CO,0.6149208660216183
252,14,524,5146,989,56334,8102,3017,CO,0.5964397725692814
253,15,198,137,296,16693,1370,782,CO,0.7415751457966646
254,17,13,4,1,1534,112,84,CO,0.7766123035675948
255,19,82,83,52,8323,695,162,CO,0.7904310570137627
256,21,169,21,27,5045,1143,1056,CO,0.501258934432062
257,23,66,56,40,1827,992,518,CO,0.3756766008595442
258,25,182,74,517,3747,380,1022,CO,0.442963923325647
259,27,53,23,11,4279,258,80,CO,0.8309193362719237
260,29,303,243,145,26117,2627,1761,CO,0.7113426217711539
261,31,12132,27875,64038,433946,96758,80773,CO,0.4086565179817589
262,33,46,6,18,2021,201,34,CO,0.7630801090369512
263,35,2165,20064,5160,289005,33899,7685,CO,0.6645894062503197
264,37,544,727,340,39594,7918,6608,CO,0.5392837392813812
265,39,204,187,123,22817,2162,569,CO,0.7739747606695582
266,41,10610,22471,43822,516911,93507,43074,CO,0.5254844571136612
267,43,880,338,1848,39965,3393,2515,CO,0.676127455668356
268,45,910,411,335,42038,8240,9751,CO,0.5075591017067635
269,47,63,94,38,5077,460,76,CO,0.7709856477054543
270,49,97,90,64,13772,960,734,CO,0.7738109500729704
271,51,210,122,88,14652,1174,672,CO,0.7566859671975898
272,53,7,3,8,706,58,6,CO,0.8083788554201344
273,55,175,31,65,4997,1020,532,CO,0.5660693492488025
274,57,16,2,0,1199,112,50,CO,0.7640269640799708
275,59,6575,18157,7356,460764,62972,27086,CO,0.6399052407071939
276,61,1,9,4,1290,122,20,CO,0.8032278675948725
277,63,55,31,24,5649,715,613,CO,0.6531087183900296
278,65,165,67,38,4996,1113,1057,CO,0.49461324044433236
279,67,3378,397,205,44366,5012,2280,CO,0.649398963565374
280,69,3203,8538,3815,295995,33720,13795,CO,0.6906011135401892
281,71,386,116,211,10035,2204,1603,CO,0.5113827376960441
