,CountyNo,STATE,HHI,FractionOfForeigners,MedianIncome,PovertyRate,Movers,Gini,"Percent of adults with less than a high school diploma, 2016-20","Percent of adults with a high school diploma only, 2016-20","Percent of adults completing some college or associate's degree, 2016-20",Percent of adults with a bachelor's degree or higher 2016-20,BelowUni,AboveUni,Rural_Urbanization,PopulationDevelopment
97,5,AZ,0.9935920930662717,0.045451846133289786,25357.0,0.16215835028282138,14.200000000000001,0.4641,9.010366439819336,21.73423194885254,31.62701416015625,37.628387451171875,30.744598388671875,69.25540161132812,2.0,9055
98,7,AZ,0.8901000129965273,0.03409333049222246,26686.0,0.20248726342909168,8.5,0.4449,12.740311622619629,28.661298751831055,39.388526916503906,19.209863662719727,41.401610374450684,58.59839057922363,3.0,421
99,9,AZ,0.8430079075453074,0.02395484498217565,25888.0,0.19498757696878039,10.799999999999999,0.4057,14.716024398803711,30.32115936279297,40.14707565307617,14.8157377243042,45.03718376159668,54.96281337738037,8.0,1617
100,11,AZ,0.3626210108443284,0.027203361716244608,34227.0,0.13800729846289947,12.1,0.3774,14.840063095092773,30.449222564697266,37.9304313659668,16.780282974243164,45.28928565979004,54.71071434020996,9.0,1061
101,12,AZ,0.42624132382799584,0.11439134162023146,21150.0,0.2513930561508787,7.700000000000001,0.4983,19.548192977905273,33.06024169921875,35.56626510620117,11.825301170349121,52.60843467712402,47.39156627655029,4.0,619
102,13,AZ,0.9874673556518899,0.17505801186020253,34032.0,0.14638898565390204,4.8999999999999995,0.4629,11.614533424377441,22.3509578704834,32.61762619018555,33.4168815612793,33.96549129486084,66.03450775146484,1.0,668297
103,15,AZ,0.9022877948648622,0.0664886692566481,25453.0,0.16865169514455058,8.6,0.4476,13.588983535766602,34.339534759521484,38.66495895385742,13.406522750854492,47.928518295288086,52.071481704711914,2.0,11995
104,17,AZ,0.9970698091959548,0.027002590063574288,22479.0,0.2508782670120085,6.5,0.4581,16.157289505004883,29.20270347595215,38.5272102355957,16.112794876098633,45.35999298095703,54.640005111694336,5.0,3475
105,19,AZ,0.9930413735105481,0.14407616164875947,28683.0,0.17639144683763347,6.8,0.4658,10.9728364944458,21.4736385345459,33.92203140258789,33.631492614746094,32.4464750289917,67.55352401733398,2.0,67016
106,21,AZ,0.9949904890234897,0.10052357063226629,30021.0,0.1252936375218984,10.7,0.438,12.943499565124512,30.327054977416992,35.83289337158203,20.89655303955078,43.270554542541504,56.72944641113281,1.0,87019
107,23,AZ,0.4137089586037632,0.5054790487717118,23612.0,0.31961663013967484,5.6,0.4927,22.140954971313477,27.496713638305664,29.434762954711914,20.927568435668945,49.63766860961914,50.36233139038086,5.0,-922
108,25,AZ,0.8578848447056417,0.06630074201387927,27704.0,0.13076262024228646,7.7,0.4504,8.158218383789062,26.169458389282227,39.37253952026367,26.29978370666504,34.32767677307129,65.67232322692871,2.0,24066
109,27,AZ,0.8260577754813303,0.37136578325898717,25088.0,0.23708344266596693,7.7,0.454,25.439891815185547,26.632478713989258,32.49226379394531,15.435364723205566,52.072370529174805,47.92762851715088,2.0,18036
110,1,AR,0.5108889677924806,0.00916373696040574,27167.0,0.1580888709584462,3.6,0.4646,14.004854202270508,43.017799377441406,26.618122100830078,16.359222412109375,57.022653579711914,42.97734451293945,6.0,-1533
111,3,AR,0.5024387190415852,0.02564635032706884,22614.0,0.16483231232478454,1.7000000000000002,0.4717,14.840132713317871,48.55567932128906,24.3807430267334,12.2234468460083,63.395812034606934,36.6041898727417,11.0,-2196
112,5,AR,0.5187485708255128,0.018158492055659725,25261.0,0.12856508437777558,5.7,0.4592,11.22449016571045,35.099544525146484,35.92335891723633,17.752605438232422,46.324034690856934,53.67596435546875,8.0,419
113,7,AR,0.9825762605325497,0.14053069367191331,34225.0,0.09659926625978461,6.3,0.4604,10.42719841003418,28.87055778503418,26.12790870666504,34.57433319091797,39.29775619506836,60.70224189758301,2.0,57802
114,9,AR,0.8162681509590948,0.013642192573190362,25631.0,0.13410275299446128,5.8999999999999995,0.4353,11.76090145111084,34.365726470947266,36.062705993652344,17.8106689453125,46.126627922058105,53.873374938964844,8.0,529
115,11,AR,0.31810826241447376,0.08930213548584857,27341.0,0.169919280678451,4.2,0.4456,16.671098709106445,42.79446792602539,26.708322525024414,13.826109886169434,59.465566635131836,40.53443241119385,9.0,-745
116,13,AR,0.589664349112426,0.018834258524980173,23918.0,0.12727993655828707,3.7,0.4184,16.034984588623047,45.34852981567383,27.908824920654297,10.707659721374512,61.383514404296875,38.61648464202881,8.0,-179
117,15,AR,0.846954904504452,0.08984999025910774,25367.0,0.16349113578803817,3.9,0.4738,13.6814546585083,35.95347213745117,29.135404586791992,21.22966957092285,49.63492679595947,50.365074157714844,6.0,934
118,17,AR,0.4300567082809324,0.03204353083434099,21086.0,0.2694478033051189,6.2,0.5381,21.808948516845703,37.839691162109375,25.70683479309082,14.644523620605469,59.64863967895508,40.35135841369629,9.0,-1682
119,19,AR,0.39451895687033206,0.023624595469255664,19884.0,0.1892279241793805,11.6,0.4613,11.063372611999512,32.553321838378906,31.21068000793457,25.172624588012695,43.61669445037842,56.383304595947266,8.0,-675
120,21,AR,0.8517095059100629,0.007290654075822803,21806.0,0.20177753089848632,4.3,0.4363,16.45956802368164,41.445228576660156,28.47447967529297,13.620722770690918,57.9047966003418,42.09520244598389,9.0,-1532
121,23,AR,0.7930515807048546,0.012052608005211938,25366.0,0.14015228633087667,5.2,0.4465,13.429409980773926,40.77395248413086,29.063251495361328,16.733386993408203,54.203362464904785,45.79663848876953,6.0,-1051
122,25,AR,0.7296898930773513,0.0025119316754584277,24239.0,0.13890982165285104,2.8000000000000003,0.4314,10.464913368225098,46.143131256103516,27.494340896606445,15.897614479064941,56.60804462432861,43.39195537567139,2.0,-733
123,27,AR,0.4678299631787262,0.019125206935610352,21103.0,0.2278469983445151,8.7,0.5365,13.194111824035645,41.70489501953125,24.614858627319336,20.486135482788086,54.899006843566895,45.10099411010742,8.0,-1095
124,29,AR,0.679850367959631,0.021371107052958888,23742.0,0.19500518237007058,4.500000000000001,0.4846,13.418903350830078,41.1901969909668,27.675201416015625,17.7156982421875,54.609100341796875,45.390899658203125,6.0,-427
125,31,AR,0.5891948662916252,0.04097776922336638,26631.0,0.17639303243191223,8.899999999999999,0.4953,10.55368709564209,33.66436767578125,28.684600830078125,27.09734344482422,44.21805477142334,55.781944274902344,2.0,13889
126,33,AR,0.5214001694798428,0.044768628500685914,25202.0,0.1815505069093586,7.3,0.4444,15.488697052001953,34.97092056274414,31.324453353881836,18.215927124023438,50.459617614746094,49.54038047790527,2.0,1309
