,STATE,CountyNo,year,Unemployment
2423,AZ,19,2021,5.0
2439,AZ,21,2015,6.3
2440,AZ,21,2016,5.6
2441,AZ,21,2017,5.1
2442,AZ,21,2018,5.0
2443,AZ,21,2019,5.0
2444,AZ,21,2020,7.3
2445,AZ,21,2021,4.7
2461,AZ,23,2015,11.5
2462,AZ,23,2016,10.2
2463,AZ,23,2017,9.6
2464,AZ,23,2018,9.2
2465,AZ,23,2019,8.7
2466,AZ,23,2020,11.2
2467,AZ,23,2021,8.7
2483,AZ,25,2015,5.6
2484,AZ,25,2016,5.0
2485,AZ,25,2017,4.6
2486,AZ,25,2018,4.4
2487,AZ,25,2019,4.6
2488,AZ,25,2020,7.3
2489,AZ,25,2021,4.1
2505,AZ,27,2015,21.8
2506,AZ,27,2016,19.1
2507,AZ,27,2017,17.2
2508,AZ,27,2018,16.9
2509,AZ,27,2019,16.8
2510,AZ,27,2020,16.9
2511,AZ,27,2021,12.9
2549,AR,1,2015,4.1
2550,AR,1,2016,3.4
2551,AR,1,2017,3.3
2552,AR,1,2018,3.3
2553,AR,1,2019,2.9
2554,AR,1,2020,4.0
2555,AR,1,2021,3.4
2571,AR,3,2015,7.5
2572,AR,3,2016,6.1
2573,AR,3,2017,5.6
2574,AR,3,2018,5.2
2575,AR,3,2019,5.3
2576,AR,3,2020,9.4
2577,AR,3,2021,7.4
2593,AR,5,2015,5.4
2594,AR,5,2016,4.3
2595,AR,5,2017,4.3
2596,AR,5,2018,4.1
2597,AR,5,2019,3.9
2598,AR,5,2020,6.0
2599,AR,5,2021,3.7
2615,AR,7,2015,3.7
2616,AR,7,2016,2.9
2617,AR,7,2017,3.0
2618,AR,7,2018,2.9
2619,AR,7,2019,2.6
2620,AR,7,2020,4.5
2621,AR,7,2021,2.8
2637,AR,9,2015,4.8
2638,AR,9,2016,3.7
2639,AR,9,2017,3.5
2640,AR,9,2018,3.4
2641,AR,9,2019,3.1
2642,AR,9,2020,5.3
2643,AR,9,2021,3.0
2659,AR,11,2015,5.7
2660,AR,11,2016,5.0
2661,AR,11,2017,4.6
2662,AR,11,2018,4.3
2663,AR,11,2019,4.0
2664,AR,11,2020,5.9
2665,AR,11,2021,4.7
2681,AR,13,2015,5.3
2682,AR,13,2016,4.6
